REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected,Houses_damaged,Houses_destroyed
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,8,164,1074,100,64
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,2,137,900,80,57
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,15,175,7,8
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,16,133,6,10
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,21,633,4966,400,233
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,22,28,15,127,3,12
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,18,128,8,10
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,24,163,21,3
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,8,24,190,0,24
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,20,124,5,15
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,23,188,20,3
South Eastern,AF14,Khost,AF1412,Shamal,22-06-2022,Earthquake,2,2,8,69,8,0
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,11,181,1167,160,32
South Eastern,AF14,Khost,AF1412,Shamal,22-06-2022,Earthquake,0,1,44,334,34,10
South Eastern,AF14,Khost,AF1412,Shamal,22-06-2022,Earthquake,0,0,17,138,10,7
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,1,109,763,49,60
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,0,22,154,12,10
Eastern,AF06,Nangarhar,AF0609,Batikot,22-06-2022,Flood / flash flood,0,0,2,17,2,0
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,3,181,1077,150,31
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,1,75,493,60,31
Eastern,AF07,Laghman,AF0704,Alingar,22-06-2022,Flood / flash flood,0,0,16,118,15,1
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,10,202,362,2534,0,362
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,29,261,0,29
Eastern,AF07,Laghman,AF0701,Mehtarlam,22-06-2022,Flood / flash flood,0,0,37,280,32,5
South Eastern,AF14,Khost,AF1412,Shamal,22-06-2022,Earthquake,0,0,41,299,40,15
Eastern,AF06,Nangarhar,AF0603,Surkhrod,22-06-2022,Flood / flash flood,0,0,3,25,3,0
South Eastern,AF14,Khost,AF1412,Shamal,22-06-2022,Earthquake,0,0,35,298,35,0
Eastern,AF06,Nangarhar,AF0601,Jalalabad,22-06-2022,Flood / flash flood,0,0,45,315,40,5
South Eastern,AF14,Khost,AF1412,Shamal,22-06-2022,Earthquake,0,0,18,127,10,8
South Eastern,AF12,Paktika,AF1213,Naka,22-06-2022,Earthquake,0,0,6,49,6,0
South Eastern,AF12,Paktika,AF1213,Naka,22-06-2022,Earthquake,0,0,3,31,3,0
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,2,3,63,569,0,63
South Eastern,AF12,Paktika,AF1213,Naka,22-06-2022,Earthquake,0,0,2,46,2,0
South Eastern,AF12,Paktika,AF1211,Urgun,22-06-2022,Earthquake,0,0,1,10,1,0
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,15,110,3,12
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,18,123,13,5
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,168,1160,55,113
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,9,60,9,0
South Eastern,AF14,Khost,AF1404,Tani,22-06-2022,Earthquake,0,0,77,559,77,0
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,0,66,461,50,29
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,3,204,1433,200,4
Eastern,AF06,Nangarhar,AF0613,Kot,22-06-2022,Flood / flash flood,0,0,9,75,4,5
South Eastern,AF14,Khost,AF1404,Tani,22-06-2022,Earthquake,0,0,178,1205,178,0
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,2,6,72,523,6,72
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,1,5,120,761,0,120
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,23,40,410,2895,250,310
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,1,7,85,602,35,50
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,3,52,370,0,52
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,7,58,464,39,19
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,12,59,450,34,25
